S. No.,Date,Region,Confirmed Cases,Cured/Discharged,Death
1,01-01-1970,India,34260470,33641175,457740
2,12-03-2020,India,74,3,0
3,13-03-2020,India,75,3,1
4,14-03-2020,India,84,10,2
5,15-03-2020,India,107,10,2
6,16-03-2020,India,114,13,2
7,17-03-2020,India,137,14,3
8,18-03-2020,India,146,14,3
9,19-03-2020,India,166,15,3
10,20-03-2020,India,195,20,4
11,21-03-2020,India,258,23,4
12,22-03-2020,India,360,24,7
13,23-03-2020,India,433,24,7
14,24-03-2020,India,492,37,9
15,25-03-2020,India,519,40,10
16,26-03-2020,India,649,43,13
17,27-03-2020,India,724,67,17
18,28-03-2020,India,909,80,19
19,29-03-2020,India,979,87,25
20,30-03-2020,India,1071,100,29
21,31-03-2020,India,1397,124,35
22,01-04-2020,India,1637,133,38
23,02-04-2020,India,1965,151,50
24,03-04-2020,India,2301,157,56
25,04-04-2020,India,2902,184,68
26,05-04-2020,India,3374,267,77
27,06-04-2020,India,4067,292,109
28,07-04-2020,India,4421,326,114
29,08-04-2020,India,5194,402,149
30,09-04-2020,India,5734,473,166
31,10-04-2020,India,6412,504,199
32,11-04-2020,India,7447,643,239
33,12-04-2020,India,8356,716,273
34,13-04-2020,India,9152,857,308
35,14-04-2020,India,10363,1036,339
36,15-04-2020,India,11439,1306,377
37,16-04-2020,India,12380,1489,414
38,17-04-2020,India,13387,1749,437
39,18-04-2020,India,14378,1992,480
40,19-04-2020,India,15712,2231,507
41,20-04-2020,India,17265,2547,543
42,21-04-2020,India,18601,3252,590
43,22-04-2020,India,19984,3870,640
44,23-04-2020,India,21393,4258,681
45,24-04-2020,India,23077,4749,718
46,25-04-2020,India,24506,5063,775
47,26-04-2020,India,26496,5804,824
48,27-04-2020,India,27892,6185,872
49,28-04-2020,India,29435,6869,934
50,29-04-2020,India,31332,7696,1007
51,30-04-2020,India,33050,8325,1074
52,01-05-2020,India,35043,8889,1147
53,02-05-2020,India,37336,9951,1218
54,03-05-2020,India,39980,10633,1301
55,04-05-2020,India,42533,11707,1373
56,05-05-2020,India,46433,12727,1568
57,06-05-2020,India,49390,14183,1694
58,07-05-2020,India,52951,15267,1783
59,08-05-2020,India,56341,16540,1886
60,09-05-2020,India,59662,17847,1981
61,10-05-2020,India,62939,19358,2109
62,11-05-2020,India,67152,20917,2206
63,12-05-2020,India,70756,22455,2293
64,13-05-2020,India,74281,24386,2415
65,14-05-2020,India,78003,26235,2549
66,15-05-2020,India,81970,27920,2649
67,16-05-2020,India,85940,30153,2752
68,17-05-2020,India,90927,34109,2872
69,18-05-2020,India,96169,36824,3029
70,19-05-2020,India,101139,39174,3163
71,20-05-2020,India,106750,42298,3303
72,21-05-2020,India,112359,45300,3435
73,22-05-2020,India,118447,48534,3583
74,23-05-2020,India,125101,51784,3720
75,24-05-2020,India,131868,54441,3867
76,25-05-2020,India,138845,57721,4021
77,26-05-2020,India,145380,60491,4167
78,27-05-2020,India,151767,64426,4337
79,28-05-2020,India,158333,67692,4531
80,29-05-2020,India,165799,71106,4706
81,30-05-2020,India,173763,82370,4971
82,31-05-2020,India,182143,86984,5164
83,01-06-2020,India,190535,91819,5394
84,02-06-2020,India,198706,95527,5598
85,03-06-2020,India,207615,100303,5815
86,04-06-2020,India,216919,104107,6075
87,05-06-2020,India,226770,109462,6348
88,06-06-2020,India,236657,114073,6642
89,07-06-2020,India,246628,119293,6929
90,08-06-2020,India,256611,124095,7135
91,09-06-2020,India,266598,129215,7466
92,10-06-2020,India,276583,135206,7745
93,11-06-2020,India,286579,141029,8102
94,12-06-2020,India,297535,147195,8498
95,13-06-2020,India,308993,154330,8884
96,14-06-2020,India,320922,162379,9195
97,15-06-2020,India,332424,169798,9520
98,16-06-2020,India,343091,180013,9900
99,17-06-2020,India,354065,186935,11903
100,18-06-2020,India,366946,194325,12237
101,19-06-2020,India,380532,204711,12573
102,20-06-2020,India,395048,213831,12948
103,21-06-2020,India,410461,227756,13254
104,22-06-2020,India,425282,237196,13699
105,23-06-2020,India,440215,248190,14011
106,24-06-2020,India,456183,258685,14476
107,25-06-2020,India,473105,271697,14894
108,26-06-2020,India,490401,285637,15301
109,27-06-2020,India,508953,295881,15685
110,28-06-2020,India,528859,309713,16095
111,29-06-2020,India,548318,321723,16475
112,30-06-2020,India,566840,334822,16893
113,01-07-2020,India,585493,347979,17400
114,02-07-2020,India,604641,359860,17834
115,03-07-2020,India,625544,379892,18213
116,04-07-2020,India,648315,394227,18655
117,05-07-2020,India,673165,409083,19268
118,06-07-2020,India,697413,424433,19693
119,07-07-2020,India,719665,439948,20160
120,08-07-2020,India,742417,456831,20642
121,09-07-2020,India,767296,476378,21129
122,10-07-2020,India,793802,495513,21604
123,11-07-2020,India,820916,515386,22123
124,12-07-2020,India,849553,534621,22674
125,13-07-2020,India,878254,553471,23174
126,14-07-2020,India,906752,571460,23727
127,15-07-2020,India,936181,592032,24309
128,16-07-2020,India,968876,612815,24915
129,17-07-2020,India,1003832,635757,25602
130,18-07-2020,India,1038716,653751,26273
131,19-07-2020,India,1077618,677423,26816
132,20-07-2020,India,1118043,700087,27497
133,21-07-2020,India,1155191,724578,28084
134,22-07-2020,India,1192915,753050,28732
135,23-07-2020,India,1238635,782607,29861
136,24-07-2020,India,1287945,817209,30601
137,25-07-2020,India,1336861,849432,31358
138,26-07-2020,India,1385522,885577,32063
139,27-07-2020,India,1435453,917568,32771
140,28-07-2020,India,1483156,952743,33425
141,29-07-2020,India,1531669,988029,34193
142,30-07-2020,India,1583792,1020582,34968
143,31-07-2020,India,1638870,1057805,35747
144,01-08-2020,India,1695988,1094374,36511
145,02-08-2020,India,1750723,1145629,37364
146,03-08-2020,India,1803695,1186203,38135
147,04-08-2020,India,1855745,1230509,38938
148,05-08-2020,India,1908254,1282215,39795
149,06-08-2020,India,1964536,1328336,40699
150,07-08-2020,India,2027074,1378105,41585
151,08-08-2020,India,2088611,1427005,42518
152,09-08-2020,India,2153010,1480884,43379
153,10-08-2020,India,2215074,1535743,44386
154,11-08-2020,India,2268675,1583489,45257
155,12-08-2020,India,2329638,1639599,46091
156,13-08-2020,India,2396637,1695982,47033
157,14-08-2020,India,2461190,1751555,48040
158,15-08-2020,India,2526192,1808936,49036
159,16-08-2020,India,2589682,1862258,49980
160,17-08-2020,India,2647663,1919842,50921
161,18-08-2020,India,2702742,1977779,51797
162,19-08-2020,India,2767273,2037870,52889
163,20-08-2020,India,2836925,2096664,53866
164,21-08-2020,India,2905823,2158946,54849
165,22-08-2020,India,2975701,2222577,55794
166,23-08-2020,India,3044940,2280566,56706
167,24-08-2020,India,3106348,2338035,57542
168,25-08-2020,India,3167323,2404585,58390
169,26-08-2020,India,3234474,2467758,59449
170,27-08-2020,India,3310234,2523771,60472
171,28-08-2020,India,3387500,2583948,61529
172,29-08-2020,India,3463972,2648998,62550
173,30-08-2020,India,3542733,2713933,63498
174,31-08-2020,India,3621245,2774801,64469
175,01-09-2020,India,3691166,2839882,65288
176,02-09-2020,India,3769523,2901908,66333
177,03-09-2020,India,3853406,2970492,67376
178,04-09-2020,India,3936747,3037151,68472
179,05-09-2020,India,4023179,3107223,69561
180,06-09-2020,India,4113811,3180865,70626
181,07-09-2020,India,4204613,3250429,71642
182,08-09-2020,India,4280422,3323950,72775
183,09-09-2020,India,4370128,3398844,73890
184,10-09-2020,India,4465863,3471783,75062
185,11-09-2020,India,4562414,3542663,76271
186,12-09-2020,India,4659984,3624196,77472
187,13-09-2020,India,4754356,3702595,78586
188,14-09-2020,India,4846427,3780107,79722
189,15-09-2020,India,4930236,3859399,80776
190,16-09-2020,India,5020359,3942360,82066
191,17-09-2020,India,5118253,4025079,83198
192,18-09-2020,India,5214677,4112551,84372
193,19-09-2020,India,5308014,4208431,85619
194,20-09-2020,India,5400619,4303043,86752
195,21-09-2020,India,5487580,4396399,87882
196,22-09-2020,India,5562663,4497867,88935
197,23-09-2020,India,5646010,4587613,90020
198,24-09-2020,India,5732518,4674987,91149
199,25-09-2020,India,5818570,4756164,92290
200,26-09-2020,India,5903932,4849584,93379
201,27-09-2020,India,5992532,4941627,94503
202,28-09-2020,India,6074702,5016520,95542
203,29-09-2020,India,6145291,5101397,96318
204,30-09-2020,India,6225763,5187825,97497
205,01-10-2020,India,6312584,5273201,98678
206,02-10-2020,India,6394068,5352078,99773
207,03-10-2020,India,6473544,5427706,100842
208,04-10-2020,India,6549373,5509966,101782
209,05-10-2020,India,6623815,5586703,102685
210,06-10-2020,India,6685082,5662490,103569
211,07-10-2020,India,6757131,5744693,104555
212,08-10-2020,India,6835655,5827704,105526
213,09-10-2020,India,6906151,5906069,106490
214,10-10-2020,India,6979423,5988822,107416
215,11-10-2020,India,7053806,6077976,108334
216,12-10-2020,India,7120538,6149535,109150
217,13-10-2020,India,7175880,6227295,109856
218,14-10-2020,India,7239389,6301927,110586
219,15-10-2020,India,7307097,6383441,111266
